date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
15-08-22,95,536,4,2022-08-15 02:52:00+0000,2022-08-15 13:27:00+0000,0,
16-08-22,67,396,0,2022-08-16 05:50:00+0000,2022-08-16 13:33:00+0000,0,
17-08-22,0,0,0,2022-08-18 04:00:00+0000,2022-08-18 04:00:00+0000,0,
18-08-22,125,385,3,2022-08-18 06:11:00+0000,2022-08-18 14:44:00+0000,0,
19-08-22,181,388,0,2022-08-19 04:27:00+0000,2022-08-19 13:56:00+0000,0,
20-08-22,59,402,27,2022-08-20 05:59:00+0000,2022-08-20 14:07:00+0000,0,
21-08-22,59,304,0,2022-08-21 08:18:00+0000,2022-08-21 14:21:00+0000,0,
22-08-22,230,279,2,2022-08-22 05:56:00+0000,2022-08-22 14:27:00+0000,0,
23-08-22,115,300,0,2022-08-23 05:31:00+0000,2022-08-23 12:26:00+0000,0,
24-08-22,0,0,0,2022-08-25 04:00:00+0000,2022-08-25 04:00:00+0000,0,
25-08-22,121,331,0,2022-08-25 04:39:00+0000,2022-08-25 12:11:00+0000,0,
26-08-22,74,49,0,2022-08-26 04:39:00+0000,2022-08-26 06:42:00+0000,0,
27-08-22,0,0,0,2022-08-28 04:00:00+0000,2022-08-28 04:00:00+0000,0,
28-08-22,81,385,0,2022-08-28 06:28:00+0000,2022-08-28 14:14:00+0000,0,
29-08-22,0,0,0,2022-08-30 04:00:00+0000,2022-08-30 04:00:00+0000,0,
30-08-22,64,357,0,2022-08-30 05:13:00+0000,2022-08-30 12:14:00+0000,0,
31-08-22,28,226,0,2022-08-31 06:45:00+0000,2022-08-31 10:59:00+0000,0,
01-09-22,77,389,0,2022-09-01 04:38:00+0000,2022-09-01 12:24:00+0000,0,
02-09-22,0,0,0,2022-09-03 04:00:00+0000,2022-09-03 04:00:00+0000,0,
03-09-22,127,266,2,2022-09-03 07:18:00+0000,2022-09-03 13:53:00+0000,0,
04-09-22,59,483,0,2022-09-04 04:10:00+0000,2022-09-04 13:12:00+0000,0,
05-09-22,107,337,3,2022-09-05 07:32:00+0000,2022-09-05 14:59:00+0000,0,
06-09-22,83,419,28,2022-09-06 05:15:00+0000,2022-09-06 14:05:00+0000,0,
07-09-22,113,399,16,2022-09-07 06:30:00+0000,2022-09-07 15:18:00+0000,0,
08-09-22,22,316,0,2022-09-08 06:40:00+0000,2022-09-08 12:18:00+0000,0,
09-09-22,156,248,3,2022-09-09 06:45:00+0000,2022-09-09 13:32:00+0000,0,
10-09-22,19,385,0,2022-09-10 06:34:00+0000,2022-09-10 13:18:00+0000,0,
11-09-22,118,314,2,2022-09-11 05:55:00+0000,2022-09-11 13:09:00+0000,0,
12-09-22,45,493,3,2022-09-12 06:36:00+0000,2022-09-12 15:37:00+0000,0,
13-09-22,102,272,4,2022-09-13 06:39:00+0000,2022-09-13 12:57:00+0000,0,
14-09-22,0,0,0,2022-09-15 04:00:00+0000,2022-09-15 04:00:00+0000,0,
15-09-22,64,421,0,2022-09-15 04:30:00+0000,2022-09-15 12:35:00+0000,0,
16-09-22,81,302,0,2022-09-16 06:04:00+0000,2022-09-16 12:27:00+0000,0,
17-09-22,166,374,0,2022-09-17 05:25:00+0000,2022-09-17 14:25:00+0000,0,
18-09-22,55,294,0,2022-09-18 06:41:00+0000,2022-09-18 12:30:00+0000,0,
19-09-22,15,88,5,2022-09-19 06:37:00+0000,2022-09-19 08:25:00+0000,0,
20-09-22,88,305,2,2022-09-20 06:46:00+0000,2022-09-20 13:21:00+0000,0,
21-09-22,0,0,0,2022-09-22 04:00:00+0000,2022-09-22 04:00:00+0000,0,
22-09-22,81,446,8,2022-09-22 04:52:00+0000,2022-09-22 13:47:00+0000,0,
23-09-22,74,406,3,2022-09-23 05:05:00+0000,2022-09-23 13:08:00+0000,0,
24-09-22,0,0,0,2022-09-25 04:00:00+0000,2022-09-25 04:00:00+0000,0,
25-09-22,52,53,0,2022-09-25 07:58:00+0000,2022-09-25 09:43:00+0000,0,
26-09-22,19,279,0,2022-09-26 06:17:00+0000,2022-09-26 11:15:00+0000,0,
27-09-22,19,417,2,2022-09-27 05:42:00+0000,2022-09-27 13:00:00+0000,0,
28-09-22,89,457,2,2022-09-28 05:21:00+0000,2022-09-28 14:29:00+0000,0,
29-09-22,128,294,0,2022-09-29 06:51:00+0000,2022-09-29 13:53:00+0000,0,
30-09-22,107,249,2,2022-09-30 07:32:00+0000,2022-09-30 13:30:00+0000,0,
01-10-22,112,364,0,2022-10-01 06:10:00+0000,2022-10-01 14:06:00+0000,0,
